object_id,timestamp,location,detected_type,speed_mps,accel,jerk,heading_deg,d_heading_deg,nn_dist_m,closing_rate_mps,ttc_s,rel_speed_mps,heading_diff_deg,zone_change,path_gap,certainty,is_confident,lat,lon,dt_s,dv,accel_new,jerk_new
690fd7d987825a48788a8a37,2025-10-12 20:10:11.735,foothill,Car,4.156286,0.0,0.0,0.0,0.0,0.4241749942302704,0.0,inf,0.0,0.0,0,0,0.6711154139601712,True,35.29418,-120.66791,0.0,0.0,0.0,0.0
690fd7d987825a48788a8a37,2025-10-12 20:10:11.735,foothill,Car,4.156286,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0,0,0.6711154139601712,True,35.294186,-120.66791,0.0,0.0,0.0,0.0
690fd7d987825a48788a8a37,2025-10-12 20:10:11.735,foothill,Car,4.156286,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0,0,0.6711154139601712,True,35.294186,-120.66791,0.0,0.0,0.0,0.0
690fd7d987825a48788a8a37,2025-10-12 20:10:11.735,foothill,Car,4.156286,0.0,0.0,0.0,0.0,0.4241749942302704,0.0,inf,0.0,0.0,0,0,0.6711154139601712,True,35.29419,-120.66791,0.0,0.0,0.0,0.0
690fd7d987825a48788a8a38,2025-10-12 20:10:13.270,foothill,Car,7.0980062,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,1,0,0.749240582871905,True,35.294003,-120.668076,0.1,0.0,0.0,0.0
690fd7d987825a48788a8a38,2025-10-12 20:10:13.270,foothill,Car,7.0980062,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0,0,0.749240582871905,True,35.294003,-120.668076,0.0,0.0,0.0,0.0
690fd7d987825a48788a8a38,2025-10-12 20:10:13.270,foothill,Car,7.0980062,0.0,0.0,90.0,90.0,0.0,0.0,inf,0.0,0.0,0,0,0.749240582871905,True,35.294003,-120.66807,0.0,0.0,0.0,0.0
690fd7d987825a48788a8a38,2025-10-12 20:10:13.270,foothill,Car,7.0980062,0.0,0.0,0.0,-90.0,0.0,0.0,inf,0.0,90.0,0,0,0.749240582871905,True,35.294003,-120.66807,0.0,0.0,0.0,0.0
690fd7d987825a48788a8a38,2025-10-12 20:10:13.270,foothill,Car,7.0980062,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0,0,0.749240582871905,True,35.294003,-120.66806,0.0,0.0,0.0,0.0
690fd7d987825a48788a8a38,2025-10-12 20:10:13.270,foothill,Car,7.0980062,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0,0,0.749240582871905,True,35.294003,-120.66806,0.0,0.0,0.0,0.0
690fd7d987825a48788a8a38,2025-10-12 20:10:13.270,foothill,Car,7.0980062,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0,0,0.749240582871905,True,35.294003,-120.66806,0.0,0.0,0.0,0.0
690fd7d987825a48788a8a38,2025-10-12 20:10:13.270,foothill,Car,7.0980062,0.0,0.0,90.0,90.0,0.0,0.0,inf,0.0,0.0,0,0,0.749240582871905,True,35.294003,-120.66805,0.0,0.0,0.0,0.0
690fd7d987825a48788a8a38,2025-10-12 20:10:13.270,foothill,Car,7.0980062,0.0,0.0,0.0,-90.0,0.0,0.0,inf,0.0,90.0,0,0,0.749240582871905,True,35.294003,-120.66805,0.0,0.0,0.0,0.0
690fd7d987825a48788a8a38,2025-10-12 20:10:13.270,foothill,Car,7.0980062,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0,0,0.749240582871905,True,35.294003,-120.668045,0.0,0.0,0.0,0.0
690fd7d987825a48788a8a38,2025-10-12 20:10:13.270,foothill,Car,7.0980062,0.0,0.0,0.0,0.0,0.0,0.0,inf,0.0,0.0,0,0,0.749240582871905,True,35.294003,-120.668045,0.0,0.0,0.0,0.0
690fd7d987825a48788a8a38,2025-10-12 20:10:13.270,foothill,Car,7.0980062,0.0,0.0,90.0,90.0,0.0,0.0,inf,0.0,0.0,0,0,0.749240582871905,True,35.294003,-120.66804,0.0,0.0,0.0,0.0
690fd7d987825a48788a8a38,2025-10-12 20:10:13.270,foothill,Car,7.0980062,0.0,0.0,0.0,-90.0,0.0,0.0,inf,0.0,90.0,0,0,0.749240582871905,True,35.294003,-120.66804,0.0,0.0,0.0,0.0
